OG	Sequence_Name	Length	Domain
SPO11Prok	Fragaria	688	Eukaryota
SPO11Prok	Panicum	585	Eukaryota
SPO11Prok	Amphimedon	952	Eukaryota
SPO11Prok	Sorghum	607	Eukaryota
SPO11Prok	Oryza	653	Eukaryota
SPO11Prok	Setaria	737	Eukaryota
SPO11Prok	Capsella	707	Eukaryota
SPO11Prok	Triticum	721	Eukaryota
SPO11Prok	Capsaspora	696	Eukaryota
SPO11Prok	Aegilops	636	Eukaryota
SPO11Prok	Citrus	682	Eukaryota
SPO11Prok	Prunus	685	Eukaryota
SPO11Prok	Tetrahymena	715	Eukaryota
SPO11Prok	Aquilegia	737	Eukaryota
SPO11Prok	Linum	514	Eukaryota
SPO11Prok	Apis	378	Eukaryota
SPO11Prok	Leishmania	905	Eukaryota
SPO11Prok	Populus	239	Eukaryota
SPO11Prok	Ichthyophthirius	525	Eukaryota
SPO11Prok	Solanum	202	Eukaryota
SPO11Prok	Eutrema	626	Eukaryota
SPO11Prok	Paramecium	685	Eukaryota
SPO11Prok	Morus	722	Eukaryota
SPO11Prok	Saccoglossus	730	Eukaryota
SPO11Prok	Triticum	721	Eukaryota
SPO11Prok	Tetrahymena	715	Eukaryota
SPO11Prok	Prunus	685	Eukaryota
SPO11Prok	Selaginella	565	Eukaryota
SPO11Prok	Capsaspora	696	Eukaryota
SPO11Prok	Linum	514	Eukaryota
SPO11Prok	Medicago	739	Eukaryota
SPO11Prok	Panicum	232	Eukaryota
SPO11Prok	Arabis	850	Eukaryota
SPO11Prok	Populus	622	Eukaryota
SPO11Prok	Cyanidioschyzon	708	Eukaryota
SPO11Prok	Nematostella	853	Eukaryota
SPO11Prok	Oryza	653	Eukaryota
SPO11Prok	Galdieria	422	Eukaryota
SPO11Prok	Carica	358	Eukaryota
SPO11Prok	Boechera	709	Eukaryota
SPO11Prok	Malus	369	Eukaryota
SPO11Prok	Volvox	1181	Eukaryota
SPO11Prok	Solanum	202	Eukaryota
SPO11Prok	Dictyostelium	327	Eukaryota
SPO11Prok	Zea	536	Eukaryota
SPO11Prok	Carica	358	Eukaryota
SPO11Prok	Oryza	450	Eukaryota
SPO11Prok	Acyrthosiphon	618	Eukaryota
SPO11Prok	Triticum	332	Eukaryota
SPO11Prok	Rhodnius	609	Eukaryota
SPO11Prok	Amborella	257	Eukaryota
SPO11Prok	Chlorella	1084	Eukaryota
SPO11Prok	Aquilegia	737	Eukaryota
SPO11Prok	Phaseolus	750	Eukaryota
SPO11Prok	Fragaria	688	Eukaryota
SPO11Prok	Erythranthe	688	Eukaryota
SPO11Prok	Amphimedon	771	Eukaryota
SPO11Prok	Aegilops	636	Eukaryota
SPO11Prok	Populus	239	Eukaryota
SPO11Prok	Hordeum	726	Eukaryota
SPO11Prok	Selaginella	565	Eukaryota
SPO11Prok	Paramecium	685	Eukaryota
SPO11Prok	Danaus	603	Eukaryota
SPO11Prok	Panicum	232	Eukaryota
SPO11Prok	Trypanosoma	618	Eukaryota
